FIPS,NAICS2017,NAICS2017_LABEL,n
47177,4451,Grocery stores,4
47177,44511,Supermarkets and other grocery (except convenience) stores,4
47177,4453,"Beer, wine, and liquor stores",3
47177,722,Food services and drinking places,54
47179,4451,Grocery stores,22
47179,44511,Supermarkets and other grocery (except convenience) stores,20
47179,4453,"Beer, wine, and liquor stores",12
47179,722,Food services and drinking places,276
47179,7224,Drinking places (alcoholic beverages),9
47183,4451,Grocery stores,6
47183,44511,Supermarkets and other grocery (except convenience) stores,4
47183,722,Food services and drinking places,50
47005,4451,Grocery stores,7
47005,44511,Supermarkets and other grocery (except convenience) stores,5
47005,722,Food services and drinking places,30
47007,722,Food services and drinking places,9
47013,4451,Grocery stores,12
47013,44511,Supermarkets and other grocery (except convenience) stores,8
47013,722,Food services and drinking places,57
47015,722,Food services and drinking places,15
47083,722,Food services and drinking places,12
47119,4451,Grocery stores,16
47119,44511,Supermarkets and other grocery (except convenience) stores,11
47119,4453,"Beer, wine, and liquor stores",12
47119,722,Food services and drinking places,174
47119,7224,Drinking places (alcoholic beverages),5
48373,4451,Grocery stores,9
48373,44511,Supermarkets and other grocery (except convenience) stores,5
48373,722,Food services and drinking places,56
48391,4451,Grocery stores,4
48391,722,Food services and drinking places,16
48467,4451,Grocery stores,8
48467,44511,Supermarkets and other grocery (except convenience) stores,6
48467,722,Food services and drinking places,86
48055,4451,Grocery stores,6
48055,44511,Supermarkets and other grocery (except convenience) stores,4
48055,4453,"Beer, wine, and liquor stores",3
48055,722,Food services and drinking places,54
48487,722,Food services and drinking places,24
48317,4451,Grocery stores,3
48317,722,Food services and drinking places,4
48383,722,Food services and drinking places,5
48501,4451,Grocery stores,3
48501,722,Food services and drinking places,19
48189,4451,Grocery stores,5
48189,44511,Supermarkets and other grocery (except convenience) stores,5
48189,4453,"Beer, wine, and liquor stores",5
48189,722,Food services and drinking places,56
48189,7224,Drinking places (alcoholic beverages),4
48419,4451,Grocery stores,9
48419,44511,Supermarkets and other grocery (except convenience) stores,5
48419,4453,"Beer, wine, and liquor stores",4
48419,722,Food services and drinking places,25
48387,4451,Grocery stores,4
48387,722,Food services and drinking places,10
48399,4451,Grocery stores,4
48399,44511,Supermarkets and other grocery (except convenience) stores,3
48399,722,Food services and drinking places,16
48407,4451,Grocery stores,7
48407,44511,Supermarkets and other grocery (except convenience) stores,4
48407,722,Food services and drinking places,13
48435,722,Food services and drinking places,9
48451,4451,Grocery stores,16
48451,44511,Supermarkets and other grocery (except convenience) stores,12
48451,4453,"Beer, wine, and liquor stores",12
48451,722,Food services and drinking places,238
48451,7224,Drinking places (alcoholic beverages),26
48459,4451,Grocery stores,5
48459,44511,Supermarkets and other grocery (except convenience) stores,4
48459,722,Food services and drinking places,36
48469,4451,Grocery stores,15
48469,44511,Supermarkets and other grocery (except convenience) stores,7
48469,4453,"Beer, wine, and liquor stores",6
48469,722,Food services and drinking places,185
48469,7224,Drinking places (alcoholic beverages),15
48473,4451,Grocery stores,9
48473,44511,Supermarkets and other grocery (except convenience) stores,4
48473,722,Food services and drinking places,48
48481,4451,Grocery stores,15
48481,44511,Supermarkets and other grocery (except convenience) stores,7
48481,4453,"Beer, wine, and liquor stores",3
48481,722,Food services and drinking places,71
48485,4451,Grocery stores,24
48485,44511,Supermarkets and other grocery (except convenience) stores,11
48485,4453,"Beer, wine, and liquor stores",11
48485,722,Food services and drinking places,269
48485,7224,Drinking places (alcoholic beverages),29
48493,4451,Grocery stores,9
48493,44511,Supermarkets and other grocery (except convenience) stores,4
48493,722,Food services and drinking places,54
48493,7224,Drinking places (alcoholic beverages),3
48219,4451,Grocery stores,3
48219,722,Food services and drinking places,38
48315,4451,Grocery stores,3
48315,722,Food services and drinking places,15
48323,4451,Grocery stores,11
48323,44511,Supermarkets and other grocery (except convenience) stores,9
48323,722,Food services and drinking places,63
48329,4451,Grocery stores,17
48329,44511,Supermarkets and other grocery (except convenience) stores,11
48329,4453,"Beer, wine, and liquor stores",14
48329,722,Food services and drinking places,315
48329,7224,Drinking places (alcoholic beverages),17
48181,4451,Grocery stores,24
48181,44511,Supermarkets and other grocery (except convenience) stores,13
48181,4453,"Beer, wine, and liquor stores",13
48181,722,Food services and drinking places,204
48181,7224,Drinking places (alcoholic beverages),7
48297,4453,"Beer, wine, and liquor stores",3
48297,722,Food services and drinking places,24
48299,4451,Grocery stores,6
48299,44511,Supermarkets and other grocery (except convenience) stores,3
48299,722,Food services and drinking places,39
48299,7224,Drinking places (alcoholic beverages),5
48363,4451,Grocery stores,3
48363,44511,Supermarkets and other grocery (except convenience) stores,3
48363,4453,"Beer, wine, and liquor stores",5
48363,722,Food services and drinking places,61
48147,4451,Grocery stores,9
48147,44511,Supermarkets and other grocery (except convenience) stores,5
48147,722,Food services and drinking places,35
48255,4451,Grocery stores,5
48255,722,Food services and drinking places,28
48255,7224,Drinking places (alcoholic beverages),3
48123,4451,Grocery stores,6
48123,722,Food services and drinking places,36
48041,4451,Grocery stores,51
48041,44511,Supermarkets and other grocery (except convenience) stores,18
48041,4453,"Beer, wine, and liquor stores",15
48041,722,Food services and drinking places,471
48041,7224,Drinking places (alcoholic beverages),32
48059,4451,Grocery stores,3
48059,44511,Supermarkets and other grocery (except convenience) stores,3
48059,722,Food services and drinking places,13
48067,4451,Grocery stores,3
48067,44511,Supermarkets and other grocery (except convenience) stores,3
48067,722,Food services and drinking places,53
48165,722,Food services and drinking places,30
48183,4451,Grocery stores,24
48183,44511,Supermarkets and other grocery (except convenience) stores,16
48183,4453,"Beer, wine, and liquor stores",16
48183,722,Food services and drinking places,319
48183,7224,Drinking places (alcoholic beverages),9
48179,4451,Grocery stores,4
48179,4453,"Beer, wine, and liquor stores",4
48179,722,Food services and drinking places,39
48313,4451,Grocery stores,3
48313,722,Food services and drinking places,35
48303,4451,Grocery stores,41
48303,44511,Supermarkets and other grocery (except convenience) stores,24
48303,4453,"Beer, wine, and liquor stores",36
48303,722,Food services and drinking places,626
48303,7224,Drinking places (alcoholic beverages),40
48237,722,Food services and drinking places,13
48257,4451,Grocery stores,26
48257,44511,Supermarkets and other grocery (except convenience) stores,15
48257,4453,"Beer, wine, and liquor stores",11
48257,722,Food services and drinking places,186
48259,4451,Grocery stores,5
48259,4453,"Beer, wine, and liquor stores",5
48259,722,Food services and drinking places,94
48259,7224,Drinking places (alcoholic beverages),8
48035,4451,Grocery stores,8
48035,44511,Supermarkets and other grocery (except convenience) stores,5
48035,4453,"Beer, wine, and liquor stores",4
48035,722,Food services and drinking places,23
48153,722,Food services and drinking places,8
48029,4451,Grocery stores,342
48029,44511,Supermarkets and other grocery (except convenience) stores,169
48029,4453,"Beer, wine, and liquor stores",129
48029,722,Food services and drinking places,3713
48029,7224,Drinking places (alcoholic beverages),278
48017,722,Food services and drinking places,13
48071,4451,Grocery stores,9
48071,44511,Supermarkets and other grocery (except convenience) stores,4
48071,4453,"Beer, wine, and liquor stores",6
48071,722,Food services and drinking places,62
48023,722,Food services and drinking places,7
48027,4451,Grocery stores,74
48027,44511,Supermarkets and other grocery (except convenience) stores,34
48027,4453,"Beer, wine, and liquor stores",25
48027,722,Food services and drinking places,556
48027,7224,Drinking places (alcoholic beverages),37
48061,4451,Grocery stores,66
48061,44511,Supermarkets and other grocery (except convenience) stores,44
48061,4453,"Beer, wine, and liquor stores",22
48061,722,Food services and drinking places,653
48061,7224,Drinking places (alcoholic beverages),35
48121,4451,Grocery stores,126
48121,44511,Supermarkets and other grocery (except convenience) stores,76
48121,4453,"Beer, wine, and liquor stores",60
48121,722,Food services and drinking places,1534
48121,7224,Drinking places (alcoholic beverages),54
48117,4451,Grocery stores,3
48117,722,Food services and drinking places,31
48167,4451,Grocery stores,80
48167,44511,Supermarkets and other grocery (except convenience) stores,45
48167,4453,"Beer, wine, and liquor stores",41
48167,722,Food services and drinking places,652
48167,7224,Drinking places (alcoholic beverages),66
48141,4451,Grocery stores,123
48141,44511,Supermarkets and other grocery (except convenience) stores,107
48141,4453,"Beer, wine, and liquor stores",49
48141,722,Food services and drinking places,1543
48141,7224,Drinking places (alcoholic beverages),122
48283,722,Food services and drinking places,11
48457,722,Food services and drinking places,19
48463,4451,Grocery stores,8
48463,4453,"Beer, wine, and liquor stores",3
48463,722,Food services and drinking places,56
48483,4451,Grocery stores,3
48483,44511,Supermarkets and other grocery (except convenience) stores,3
48483,722,Food services and drinking places,15
48037,4451,Grocery stores,20
48037,44511,Supermarkets and other grocery (except convenience) stores,16
48037,722,Food services and drinking places,178
48037,7224,Drinking places (alcoholic beverages),3
48009,722,Food services and drinking places,6
48043,4451,Grocery stores,5
48043,44511,Supermarkets and other grocery (except convenience) stores,5
48043,4453,"Beer, wine, and liquor stores",3
48043,722,Food services and drinking places,30
48043,7224,Drinking places (alcoholic beverages),5
48215,4451,Grocery stores,147
48215,44511,Supermarkets and other grocery (except convenience) stores,75
48215,4453,"Beer, wine, and liquor stores",27
48215,722,Food services and drinking places,1062
48215,7224,Drinking places (alcoholic beverages),37
48423,4451,Grocery stores,58
48423,44511,Supermarkets and other grocery (except convenience) stores,28
48423,4453,"Beer, wine, and liquor stores",8
48423,722,Food services and drinking places,423
48423,7224,Drinking places (alcoholic beverages),7
48425,722,Food services and drinking places,22
48105,722,Food services and drinking places,14
48199,4451,Grocery stores,15
48199,44511,Supermarkets and other grocery (except convenience) stores,7
48199,4453,"Beer, wine, and liquor stores",4
48199,722,Food services and drinking places,81
48207,4453,"Beer, wine, and liquor stores",3
48207,722,Food services and drinking places,11
48227,4451,Grocery stores,6
48227,722,Food services and drinking places,67
48227,7224,Drinking places (alcoholic beverages),4
48289,4451,Grocery stores,6
48289,44511,Supermarkets and other grocery (except convenience) stores,5
48289,722,Food services and drinking places,35
48333,722,Food services and drinking places,7
48337,4451,Grocery stores,3
48337,4453,"Beer, wine, and liquor stores",3
48337,722,Food services and drinking places,28
48351,4451,Grocery stores,5
48351,722,Food services and drinking places,5
48365,4451,Grocery stores,5
48365,44511,Supermarkets and other grocery (except convenience) stores,3
48365,722,Food services and drinking places,24
48389,4451,Grocery stores,4
48389,722,Food services and drinking places,24
48403,4451,Grocery stores,8
48403,722,Food services and drinking places,6
1099,4451,Grocery stores,5
1099,44511,Supermarkets and other grocery (except convenience) stores,5
1099,722,Food services and drinking places,21
1079,4451,Grocery stores,4
1079,44511,Supermarkets and other grocery (except convenience) stores,3
1079,722,Food services and drinking places,38
1081,4451,Grocery stores,26
1081,44511,Supermarkets and other grocery (except convenience) stores,18
1081,4453,"Beer, wine, and liquor stores",6
1081,722,Food services and drinking places,346
1081,7224,Drinking places (alcoholic beverages),9
1093,4451,Grocery stores,4
1093,44511,Supermarkets and other grocery (except convenience) stores,3
1093,722,Food services and drinking places,51
1107,4451,Grocery stores,5
1107,44511,Supermarkets and other grocery (except convenience) stores,4
1107,722,Food services and drinking places,11
1119,4451,Grocery stores,6
1119,44511,Supermarkets and other grocery (except convenience) stores,3
1119,722,Food services and drinking places,17
1073,4451,Grocery stores,158
1073,44511,Supermarkets and other grocery (except convenience) stores,113
1073,4453,"Beer, wine, and liquor stores",53
1073,722,Food services and drinking places,1388
1073,7224,Drinking places (alcoholic beverages),49
1023,4451,Grocery stores,7
1023,44511,Supermarkets and other grocery (except convenience) stores,4
1023,722,Food services and drinking places,17
1059,4451,Grocery stores,8
1059,44511,Supermarkets and other grocery (except convenience) stores,8
1059,722,Food services and drinking places,40
1091,4451,Grocery stores,9
1091,44511,Supermarkets and other grocery (except convenience) stores,6
1091,722,Food services and drinking places,36
1113,4451,Grocery stores,11
1113,44511,Supermarkets and other grocery (except convenience) stores,10
1113,722,Food services and drinking places,82
1019,4451,Grocery stores,7
1019,44511,Supermarkets and other grocery (except convenience) stores,4
1019,722,Food services and drinking places,35
1039,4451,Grocery stores,10
1039,44511,Supermarkets and other grocery (except convenience) stores,7
1039,4453,"Beer, wine, and liquor stores",3
1039,722,Food services and drinking places,50
1041,4451,Grocery stores,3
1041,44511,Supermarkets and other grocery (except convenience) stores,3
1041,722,Food services and drinking places,12
1047,4451,Grocery stores,12
1047,44511,Supermarkets and other grocery (except convenience) stores,7
1047,4453,"Beer, wine, and liquor stores",3
1047,722,Food services and drinking places,47
1077,4451,Grocery stores,22
1077,44511,Supermarkets and other grocery (except convenience) stores,18
1077,4453,"Beer, wine, and liquor stores",10
1077,722,Food services and drinking places,165
1077,7224,Drinking places (alcoholic beverages),3
1087,4451,Grocery stores,6
1087,44511,Supermarkets and other grocery (except convenience) stores,4
1087,722,Food services and drinking places,16
1083,4451,Grocery stores,9
1083,44511,Supermarkets and other grocery (except convenience) stores,8
1083,4453,"Beer, wine, and liquor stores",4
1083,722,Food services and drinking places,96
1117,4451,Grocery stores,35
1117,44511,Supermarkets and other grocery (except convenience) stores,31
1117,4453,"Beer, wine, and liquor stores",20
1117,722,Food services and drinking places,359
1117,7224,Drinking places (alcoholic beverages),9
1115,4451,Grocery stores,16
1115,44511,Supermarkets and other grocery (except convenience) stores,14
1115,4453,"Beer, wine, and liquor stores",4
1115,722,Food services and drinking places,105
1115,7224,Drinking places (alcoholic beverages),3
1133,4451,Grocery stores,6
1133,44511,Supermarkets and other grocery (except convenience) stores,5
1133,722,Food services and drinking places,27
1003,4451,Grocery stores,32
1003,44511,Supermarkets and other grocery (except convenience) stores,29
1003,4453,"Beer, wine, and liquor stores",22
1003,722,Food services and drinking places,500
1003,7224,Drinking places (alcoholic beverages),19
1043,4451,Grocery stores,17
1043,44511,Supermarkets and other grocery (except convenience) stores,14
1043,4453,"Beer, wine, and liquor stores",3
1043,722,Food services and drinking places,136
1051,4451,Grocery stores,9
1051,44511,Supermarkets and other grocery (except convenience) stores,7
1051,4453,"Beer, wine, and liquor stores",3
1051,722,Food services and drinking places,96
1051,7224,Drinking places (alcoholic beverages),4
1069,4451,Grocery stores,22
1069,44511,Supermarkets and other grocery (except convenience) stores,19
1069,4453,"Beer, wine, and liquor stores",9
1069,722,Food services and drinking places,223
1069,7224,Drinking places (alcoholic beverages),10
1071,4451,Grocery stores,14
1071,44511,Supermarkets and other grocery (except convenience) stores,9
1071,4453,"Beer, wine, and liquor stores",3
1071,722,Food services and drinking places,65
1121,4451,Grocery stores,11
1121,44511,Supermarkets and other grocery (except convenience) stores,7
1121,4453,"Beer, wine, and liquor stores",4
1121,722,Food services and drinking places,105
1125,4451,Grocery stores,38
1125,44511,Supermarkets and other grocery (except convenience) stores,27
1125,4453,"Beer, wine, and liquor stores",13
1125,722,Food services and drinking places,367
1125,7224,Drinking places (alcoholic beverages),22
1129,4451,Grocery stores,4
1129,44511,Supermarkets and other grocery (except convenience) stores,4
1129,722,Food services and drinking places,8
1027,722,Food services and drinking places,10
1031,4451,Grocery stores,7
1031,44511,Supermarkets and other grocery (except convenience) stores,6
1031,722,Food services and drinking places,88
1031,7224,Drinking places (alcoholic beverages),3
1103,4451,Grocery stores,19
1103,44511,Supermarkets and other grocery (except convenience) stores,17
1103,4453,"Beer, wine, and liquor stores",7
1103,722,Food services and drinking places,173
1109,4451,Grocery stores,7
1109,44511,Supermarkets and other grocery (except convenience) stores,6
1109,4453,"Beer, wine, and liquor stores",3
1109,722,Food services and drinking places,75
1021,4451,Grocery stores,6
1021,44511,Supermarkets and other grocery (except convenience) stores,4
1021,4453,"Beer, wine, and liquor stores",4
1021,722,Food services and drinking places,52
1033,4451,Grocery stores,15
1033,44511,Supermarkets and other grocery (except convenience) stores,9
1033,4453,"Beer, wine, and liquor stores",8
1033,722,Food services and drinking places,92
1033,7224,Drinking places (alcoholic beverages),5
27141,4451,Grocery stores,11
27141,44511,Supermarkets and other grocery (except convenience) stores,10
27141,4453,"Beer, wine, and liquor stores",12
27141,722,Food services and drinking places,108
27141,7224,Drinking places (alcoholic beverages),4
27159,4451,Grocery stores,7
27159,44511,Supermarkets and other grocery (except convenience) stores,6
27159,4453,"Beer, wine, and liquor stores",3
27159,722,Food services and drinking places,28
27009,4451,Grocery stores,4
27009,44511,Supermarkets and other grocery (except convenience) stores,3
27009,4453,"Beer, wine, and liquor stores",5
27009,722,Food services and drinking places,53
27009,7224,Drinking places (alcoholic beverages),8
27019,4451,Grocery stores,16
27019,44511,Supermarkets and other grocery (except convenience) stores,15
27019,4453,"Beer, wine, and liquor stores",18
27019,722,Food services and drinking places,165
27019,7224,Drinking places (alcoholic beverages),19
27047,4451,Grocery stores,6
27047,44511,Supermarkets and other grocery (except convenience) stores,6
27047,4453,"Beer, wine, and liquor stores",5
27047,722,Food services and drinking places,59
27047,7224,Drinking places (alcoholic beverages),9
27061,4451,Grocery stores,15
27061,44511,Supermarkets and other grocery (except convenience) stores,11
27061,4453,"Beer, wine, and liquor stores",12
27061,722,Food services and drinking places,70
27061,7224,Drinking places (alcoholic beverages),13
27085,4451,Grocery stores,5
27085,44511,Supermarkets and other grocery (except convenience) stores,5
27085,4453,"Beer, wine, and liquor stores",5
27085,722,Food services and drinking places,62
27085,7224,Drinking places (alcoholic beverages),5
27121,722,Food services and drinking places,22
27121,7224,Drinking places (alcoholic beverages),4
27123,4451,Grocery stores,144
27123,44511,Supermarkets and other grocery (except convenience) stores,111
27123,4453,"Beer, wine, and liquor stores",70
27123,722,Food services and drinking places,1124
27123,7224,Drinking places (alcoholic beverages),66
27149,4451,Grocery stores,3
27149,44511,Supermarkets and other grocery (except convenience) stores,3
27149,722,Food services and drinking places,18
27151,4451,Grocery stores,3
27151,44511,Supermarkets and other grocery (except convenience) stores,3
27151,4453,"Beer, wine, and liquor stores",3
27151,722,Food services and drinking places,21
27151,7224,Drinking places (alcoholic beverages),5
27169,4451,Grocery stores,4
27169,44511,Supermarkets and other grocery (except convenience) stores,4
27169,4453,"Beer, wine, and liquor stores",8
27169,722,Food services and drinking places,114
27169,7224,Drinking places (alcoholic beverages),30
27033,4451,Grocery stores,4
27033,44511,Supermarkets and other grocery (except convenience) stores,4
27033,722,Food services and drinking places,17
27033,7224,Drinking places (alcoholic beverages),5
27139,4451,Grocery stores,24
27139,44511,Supermarkets and other grocery (except convenience) stores,20
27139,4453,"Beer, wine, and liquor stores",16
27139,722,Food services and drinking places,201
27139,7224,Drinking places (alcoholic beverages),15
27039,4451,Grocery stores,3
27039,44511,Supermarkets and other grocery (except convenience) stores,3
27039,722,Food services and drinking places,27
27039,7224,Drinking places (alcoholic beverages),4
27157,4451,Grocery stores,4
27157,44511,Supermarkets and other grocery (except convenience) stores,4
27157,4453,"Beer, wine, and liquor stores",6
