"State","N_before","N_during","n_healthy_before","n_healthy_during","n_fastfood_before","n_fastfood_during","n_eatout_before","n_eatout_during","n_alcohol_before","n_alcohol_during","p_healthy_before","p_healthy_during","p_fastfood_before","p_fastfood_during","p_eatout_before","p_eatout_during","p_alcohol_before","p_alcohol_during","p_healthy_diff_r","p_healthy_diff_a","p_healthy_diff_sd","p_healthy_diff_sd_lab","p_healthy_p_change","p_fastfood_diff_r","p_fastfood_diff_a","p_fastfood_diff_sd","p_fastfood_diff_sd_lab","p_fastfood_p_change","p_eatout_diff_r","p_eatout_diff_a","p_eatout_diff_sd","p_eatout_diff_sd_lab","p_eatout_p_change","p_alcohol_diff_r","p_alcohol_diff_a","p_alcohol_diff_sd","p_alcohol_diff_sd_lab","p_alcohol_p_change","N"
"Alabama",6050,3686,679,518,622,289,1094,658,1383,793,"11.2","14.1","10.3","7.8","18.1","17.9","22.9","21.5","1.3","2.8","1.0","(0.5 SD, 1.5 SD]","25.2","0.8","-2.4","-1.0","(-1.5 SD, -0.5 SD]","-23.7","1.0","-0.2","-0.1","(-0.5 SD, 0.5 SD]","-1.3","0.9","-1.3","-0.2","(-0.5 SD, 0.5 SD]","-5.9",9736
"Alaska",1217,668,303,192,61,28,144,57,314,104,"24.9","28.7","5.0","4.2","11.8","8.5","25.8","15.6","1.2","3.8","1.4","(0.5 SD, 1.5 SD]","15.4","0.8","-0.8","-0.4","(-0.5 SD, 0.5 SD]","-16.4","0.7","-3.3","-0.8","(-1.5 SD, -0.5 SD]","-27.9","0.6","-10.2","-1.9","≤ -1.5 SD","-39.7",1885
"Arizona",14546,8717,1568,1037,1491,959,2544,1499,3907,2097,"10.8","11.9","10.3","11.0","17.5","17.2","26.9","24.1","1.1","1.1","0.4","(-0.5 SD, 0.5 SD]","10.4","1.1","0.8","0.3","(-0.5 SD, 0.5 SD]","7.3","1.0","-0.3","-0.1","(-0.5 SD, 0.5 SD]","-1.7","0.9","-2.8","-0.5","(-1.5 SD, -0.5 SD]","-10.4",23263
"Arkansas",3404,1656,450,243,239,110,506,259,751,268,"13.2","14.7","7.0","6.6","14.9","15.6","22.1","16.2","1.1","1.5","0.5","(0.5 SD, 1.5 SD]","11.0","0.9","-0.4","-0.2","(-0.5 SD, 0.5 SD]","-5.4","1.1","0.8","0.2","(-0.5 SD, 0.5 SD]","5.2","0.7","-5.9","-1.1","(-1.5 SD, -0.5 SD]","-26.6",5060
"California",121400,66617,15089,9617,10319,4999,19628,9272,30787,15941,"12.4","14.4","8.5","7.5","16.2","13.9","25.4","23.9","1.2","2.0","0.7","(0.5 SD, 1.5 SD]","16.1","0.9","-1.0","-0.4","(-0.5 SD, 0.5 SD]","-11.7","0.9","-2.2","-0.5","(-1.5 SD, -0.5 SD]","-13.9","0.9","-1.4","-0.3","(-0.5 SD, 0.5 SD]","-5.6",188017
"Colorado",14609,8024,1693,1163,964,416,2140,1038,5416,2642,"11.6","14.5","6.6","5.2","14.6","12.9","37.1","32.9","1.3","2.9","1.1","(0.5 SD, 1.5 SD]","25.1","0.8","-1.4","-0.6","(-1.5 SD, -0.5 SD]","-21.4","0.9","-1.7","-0.4","(-0.5 SD, 0.5 SD]","-11.7","0.9","-4.1","-0.8","(-1.5 SD, -0.5 SD]","-11.2",22633
"Connecticut",10821,6967,1236,1063,1208,487,2595,1473,3377,1790,"11.4","15.3","11.2","7.0","24.0","21.1","31.2","25.7","1.3","3.8","1.4","(0.5 SD, 1.5 SD]","33.6","0.6","-4.2","-1.8","≤ -1.5 SD","-37.4","0.9","-2.8","-0.7","(-1.5 SD, -0.5 SD]","-11.8","0.8","-5.5","-1.0","(-1.5 SD, -0.5 SD]","-17.7",17788
"Delaware",2401,1419,260,198,274,145,544,289,632,335,"10.8","14.0","11.4","10.2","22.7","20.4","26.3","23.6","1.3","3.1","1.1","(0.5 SD, 1.5 SD]","28.9","0.9","-1.2","-0.5","(-1.5 SD, -0.5 SD]","-10.5","0.9","-2.3","-0.5","(-1.5 SD, -0.5 SD]","-10.1","0.9","-2.7","-0.5","(-0.5 SD, 0.5 SD]","-10.3",3820
"District of Columbia",6532,2860,851,513,383,93,1028,334,1711,630,"13.0","17.9","5.9","3.3","15.7","11.7","26.2","22.0","1.4","4.9","1.8","> 1.5 SD","37.7","0.6","-2.6","-1.1","(-1.5 SD, -0.5 SD]","-44.5","0.7","-4.1","-1.0","(-1.5 SD, -0.5 SD]","-25.8","0.8","-4.2","-0.8","(-1.5 SD, -0.5 SD]","-15.9",9392
"Florida",57371,35581,6983,4756,4377,2312,10699,5879,13769,7725,"12.2","13.4","7.6","6.5","18.6","16.5","24.0","21.7","1.1","1.2","0.4","(-0.5 SD, 0.5 SD]","9.8","0.9","-1.1","-0.5","(-0.5 SD, 0.5 SD]","-14.8","0.9","-2.1","-0.5","(-1.5 SD, -0.5 SD]","-11.4","0.9","-2.3","-0.4","(-0.5 SD, 0.5 SD]","-9.5",92952
"Georgia",24560,15215,3664,2375,2269,1159,4651,2707,5614,3254,"14.9","15.6","9.2","7.6","18.9","17.8","22.9","21.4","1.0","0.7","0.3","(-0.5 SD, 0.5 SD]","4.6","0.8","-1.6","-0.7","(-1.5 SD, -0.5 SD]","-17.5","0.9","-1.1","-0.3","(-0.5 SD, 0.5 SD]","-6.0","0.9","-1.5","-0.3","(-0.5 SD, 0.5 SD]","-6.4",39775
"Hawaii",6826,3998,1000,592,534,498,1112,803,1140,409,"14.6","14.8","7.8","12.5","16.3","20.1","16.7","10.2","1.0","0.2","0.1","(-0.5 SD, 0.5 SD]","1.1","1.6","4.6","2.0","> 1.5 SD","59.2","1.2","3.8","0.9","(0.5 SD, 1.5 SD]","23.3","0.6","-6.5","-1.2","(-1.5 SD, -0.5 SD]","-38.7",10824
"Idaho",2789,2146,336,291,456,655,680,918,708,355,"12.0","13.6","16.3","30.5","24.4","42.8","25.4","16.5","1.1","1.5","0.6","(0.5 SD, 1.5 SD]","12.6","1.9","14.2","6.1","> 1.5 SD","86.7","1.8","18.4","4.3","> 1.5 SD","75.4","0.7","-8.8","-1.6","≤ -1.5 SD","-34.8",4935
"Illinois",29976,16301,3629,2594,3191,1482,5712,2456,8295,4194,"12.1","15.9","10.6","9.1","19.1","15.1","27.7","25.7","1.3","3.8","1.4","(0.5 SD, 1.5 SD]","31.4","0.9","-1.6","-0.7","(-1.5 SD, -0.5 SD]","-14.6","0.8","-4.0","-0.9","(-1.5 SD, -0.5 SD]","-20.9","0.9","-1.9","-0.4","(-0.5 SD, 0.5 SD]","-7.0",46277
"Indiana",11678,7068,1533,1151,1071,600,2036,1106,3170,1493,"13.1","16.3","9.2","8.5","17.4","15.6","27.1","21.1","1.2","3.2","1.2","(0.5 SD, 1.5 SD]","24.1","0.9","-0.7","-0.3","(-0.5 SD, 0.5 SD]","-7.4","0.9","-1.8","-0.4","(-0.5 SD, 0.5 SD]","-10.2","0.8","-6.0","-1.1","(-1.5 SD, -0.5 SD]","-22.2",18746
"Iowa",6705,4068,803,547,783,495,1383,930,2295,1169,"12.0","13.4","11.7","12.2","20.6","22.9","34.2","28.7","1.1","1.5","0.5","(0.5 SD, 1.5 SD]","12.3","1.0","0.5","0.2","(-0.5 SD, 0.5 SD]","4.2","1.1","2.2","0.5","(0.5 SD, 1.5 SD]","10.8","0.8","-5.5","-1.0","(-1.5 SD, -0.5 SD]","-16.0",10773
"Kansas",5067,2809,666,378,376,181,730,466,1270,737,"13.1","13.5","7.4","6.4","14.4","16.6","25.1","26.2","1.0","0.3","0.1","(-0.5 SD, 0.5 SD]","2.4","0.9","-1.0","-0.4","(-0.5 SD, 0.5 SD]","-13.2","1.2","2.2","0.5","(0.5 SD, 1.5 SD]","15.1","1.0","1.2","0.2","(-0.5 SD, 0.5 SD]","4.7",7876
"Kentucky",6472,3270,716,528,691,229,1166,466,1609,606,"11.1","16.1","10.7","7.0","18.0","14.3","24.9","18.5","1.5","5.1","1.9","> 1.5 SD","46.0","0.7","-3.7","-1.6","≤ -1.5 SD","-34.4","0.8","-3.8","-0.9","(-1.5 SD, -0.5 SD]","-20.9","0.7","-6.3","-1.2","(-1.5 SD, -0.5 SD]","-25.5",9742
