"Variable","OR_CI_str","prob_CI_str","p_str","OR","CI_l","CI_u","OR_prob","CI_l_prob","CI_u_prob","pvalue","significant"
"(Intercept)","0.078 (0.056, 0.109)","-42.76% (-44.68%, -40.21%)","< 0.001",0.0780853380399304,0.0561834267139806,0.108525242645852,-42.7570355254161,-44.6805237335735,-40.2099439443687,0,TRUE
"p_alcohol_before","1.000 (1.000, 1.000)","  0.01% (  0.01%,   0.01%)","< 0.001",1.00038570999997,1.0003771699783,1.00039425009454,0.00964089070520657,0.00942747157793633,0.00985430983212154,0,TRUE
"% Age 10-24 years","1.004 (1.001, 1.008)","  0.11% (  0.02%,   0.20%)","0.020",1.00433261719239,1.00067755317866,1.00800103165343,0.108081292377115,0.0169330929311045,0.199228773474424,0.02,TRUE
"% Age 65+ years","0.986 (0.982, 0.989)"," -0.36% ( -0.45%,  -0.27%)","< 0.001",0.985630125531591,0.981988807120948,0.989284946336224,-0.36184670759269,-0.454371710232188,-0.269319226577139,0,TRUE
"% Low Income","0.991 (0.987, 0.994)"," -0.23% ( -0.33%,  -0.14%)","< 0.001",0.990665124095616,0.986874686492843,0.994470120200513,-0.234466254303449,-0.330300486396673,-0.13863029943338,0,TRUE
"% High Income","0.996 (0.993, 0.998)"," -0.11% ( -0.17%,  -0.05%)","< 0.001",0.995514502234567,0.993078597462192,0.997956381994295,-0.112389505573873,-0.173635965651862,-0.0511427082223079,0,TRUE
"% Non-Hispanic Black","0.998 (0.996, 1.001)"," -0.04% ( -0.10%,   0.02%)","0.152",0.998309928562433,0.996000201302062,1.0006250120868,-0.042287520404372,-0.100195348059792,0.0156204206941055,0.152,FALSE
"% Hispanic","0.998 (0.996, 1.000)"," -0.04% ( -0.09%,   0.01%)","0.096",0.998292488700478,0.996287470745179,1.00030154173312,-0.0427242585651726,-0.0929858376918702,0.00753740690665694,0.096,FALSE
"% Non-Hispanic White","1.004 (1.002, 1.007)","  0.11% (  0.05%,   0.16%)","< 0.001",1.00433770425488,1.00215407983197,1.00652608664437,0.108207919395817,0.0537940574522366,0.162621525027888,0,TRUE
"Bars per 10,000","0.989 (0.978, 1.000)"," -0.27% ( -0.54%,   0.00%)","0.047",0.98910720681535,0.978453984686785,0.999876419213765,-0.273811113531941,-0.544516462853849,-0.0030897105703005,0.047,TRUE
"Liquor Stores per 10,000","1.066 (1.046, 1.087)","  1.60% (  1.11%,   2.09%)","< 0.001",1.06625118580963,1.04559399315922,1.08731649060585,1.60317357019867,1.11444385620258,2.09159681818328,0,TRUE
"% Change in Time Spent in
Places of Residence","0.999 (0.993, 1.006)"," -0.02% ( -0.17%,   0.14%)","0.849",0.999384911191464,0.993067145333893,1.00574286986542,-0.0153819508462973,-0.173924262469995,0.143160670086459,0.849,FALSE
"StateAbbrAL","1.648 (1.275, 2.131)"," 12.24% (  6.04%,  18.06%)","< 0.001",1.64813319421986,1.27480708137664,2.13078752508657,12.2375489955444,6.0402282819152,18.0591547019037,0,TRUE
"StateAbbrAR","1.134 (0.858, 1.500)","  3.15% ( -3.83%,  10.00%)","0.377",1.1342698329971,0.857845316426668,1.49976695030104,3.14556835600641,-3.82579438439872,9.99627085718645,0.377,FALSE
"StateAbbrAZ","1.867 (1.456, 2.394)"," 15.12% (  9.29%,  20.54%)","< 0.001",1.86733520967464,1.45632306273932,2.39434564658458,15.1244124988975,9.28874278920019,20.5392407221048,0,TRUE
"StateAbbrCA","1.955 (1.534, 2.492)"," 16.16% ( 10.54%,  21.36%)","< 0.001",1.95525931474071,1.53415997346408,2.4919428573332,16.1620218905311,10.5391920608293,21.3626470748235,0,TRUE
"StateAbbrCO","1.453 (1.134, 1.862)","  9.24% (  3.14%,  15.06%)","0.003",1.45310898362151,1.1339031747146,1.86217462422486,9.23540263899299,3.13751758517606,15.0615307837543,0.003,TRUE
"StateAbbrCT","1.416 (1.103, 1.816)","  8.60% (  2.46%,  14.49%)","0.006",1.4157146118945,1.1034701325463,1.8163136483873,8.60438169822718,2.45951038109227,14.4925912079208,0.006,TRUE
"StateAbbrDC","1.746 (1.340, 2.275)"," 13.58% (  7.27%,  19.47%)","< 0.001",1.74609280823406,1.34000830403186,2.27523970246547,13.5846247802865,7.26510891961409,19.4678835491876,0,TRUE
"StateAbbrDE","1.581 (1.202, 2.079)"," 11.25% (  4.58%,  17.52%)","0.001",1.58061175632525,1.20183523436779,2.07876541874544,11.2494983970783,4.58334100611625,17.5194480907387,0.001,TRUE
"StateAbbrFL","1.941 (1.518, 2.482)"," 16.00% ( 10.28%,  21.28%)","< 0.001",1.94086401647382,1.51788023299979,2.48171960379131,15.9963876466812,10.2840521604713,21.2785602002217,0,TRUE
"StateAbbrGA","1.819 (1.421, 2.329)"," 14.53% (  8.70%,  19.96%)","< 0.001",1.81938797673955,1.42112201421099,2.32926699945763,14.5313093391127,8.69683584179518,19.9633582958979,0,TRUE
