"Variable","OR_CI_str","prob_CI_str","p_str","OR","CI_l","CI_u","OR_prob","CI_l_prob","CI_u_prob","pvalue","significant"
"(Intercept)","0.320 (0.186,  0.551)","-25.75% (-34.32%, -14.48%)","< 0.001",0.320060495797935,0.185936715787739,0.550933259934319,-25.754103935633,-34.3215313842245,-14.4773070404299,0,TRUE
"p_fastfood_before","1.001 (1.001,  1.001)","  0.02% (  0.02%,   0.02%)","< 0.001",1.00074532783688,1.00072391219731,1.00076674393474,0.0186262545889235,0.0180912566920668,0.019161252481517,0,TRUE
"% Age 10-24 years","0.980 (0.974,  0.986)"," -0.51% ( -0.66%,  -0.35%)","< 0.001",0.979981461972782,0.973850498703098,0.986151023272311,-0.50552337008429,-0.662398224031733,-0.34863856185698,0,TRUE
"% Age 65+ years","0.979 (0.973,  0.985)"," -0.53% ( -0.69%,  -0.37%)","< 0.001",0.979005288667356,0.9726790868158,0.985372635466315,-0.530435958227812,-0.69248245613786,-0.368378315294173,0,TRUE
"% Low Income","0.984 (0.978,  0.990)"," -0.39% ( -0.55%,  -0.24%)","< 0.001",0.984390721582101,0.978361591170693,0.990457006368584,-0.393301537044451,-0.546876994728315,-0.239718657596796,0,TRUE
"% High Income","1.002 (0.998,  1.006)","  0.06% ( -0.04%,   0.16%)","0.254",1.00233600612769,0.998326945108413,1.00636116665258,0.0583320212127916,-0.0418613904917251,0.1585249644558,0.254,FALSE
"% Non-Hispanic Black","0.991 (0.988,  0.995)"," -0.22% ( -0.30%,  -0.13%)","< 0.001",0.991289486113962,0.987887042946464,0.994703647847453,-0.21871540895436,-0.304669148494007,-0.132760376667044,0,TRUE
"% Hispanic","0.990 (0.987,  0.993)"," -0.26% ( -0.34%,  -0.19%)","< 0.001",0.989578549704889,0.98664155728356,0.992524284839738,-0.261900951250631,-0.336206666659727,-0.187594078956572,0,TRUE
"% Non-Hispanic White","0.986 (0.982,  0.989)"," -0.36% ( -0.44%,  -0.28%)","< 0.001",0.985635863935296,0.982360168364016,0.988922482365444,-0.361701163984712,-0.444919947381258,-0.27848037650471,0,TRUE
"Grocery Stores per 10,000","0.967 (0.949,  0.986)"," -0.83% ( -1.32%,  -0.34%)","0.001",0.967317291367215,0.948636703049134,0.986365738507107,-0.830641523261136,-1.31792901340961,-0.343196150350934,0.001,TRUE
"Restaurants per 10,000","0.993 (0.991,  0.995)"," -0.17% ( -0.23%,  -0.12%)","< 0.001",0.993048940879165,0.990763328612219,0.995339825871983,-0.174382549727262,-0.231988184005289,-0.116776452501782,0,TRUE
"% Change in Time Spent in
Places of Residence","0.967 (0.956,  0.977)"," -0.85% ( -1.11%,  -0.58%)","< 0.001",0.966715495216102,0.956449175057438,0.97709201185185,-0.846195213920367,-1.11300680584468,-0.579335408034282,0,TRUE
"StateAbbrAL","1.724 (1.122,  2.651)"," 13.30% (  2.87%,  22.61%)","0.013",1.72445379250979,1.12160249293331,2.65133226899687,13.295395108214,2.86581707314033,22.6127362198475,0.013,TRUE
"StateAbbrAR","1.911 (1.210,  3.019)"," 15.65% (  4.75%,  25.12%)","0.005",1.91105649769881,1.20983862488213,3.01869758683942,15.6482105108403,4.74782688924461,25.1163162096387,0.005,TRUE
"StateAbbrAZ","2.487 (1.638,  3.776)"," 21.32% ( 12.09%,  29.06%)","< 0.001",2.48660696539641,1.6375585093425,3.77587375662111,21.3188205632376,12.0861491239758,29.0614230827682,0,TRUE
"StateAbbrCA","1.623 (1.076,  2.449)"," 11.88% (  1.83%,  21.01%)","0.021",1.62344008001384,1.0761845777668,2.4489829605851,11.882110149254,1.83472554855268,21.0059454793492,0.021,TRUE
"StateAbbrCO","1.278 (0.838,  1.950)","  6.11% ( -4.41%,  16.10%)","0.255",1.27820754055684,0.837956667368583,1.94976014913397,6.10584276463334,-4.40824681855573,16.0989385766299,0.255,FALSE
"StateAbbrCT","1.477 (0.969,  2.250)","  9.62% ( -0.78%,  19.23%)","0.070",1.47656692230246,0.969105340141998,2.24975530082035,9.62152320639488,-0.784484690285147,19.2284523777047,0.07,FALSE
"StateAbbrDC","1.058 (0.662,  1.690)","  1.41% (-10.15%,  12.83%)","0.813",1.05813788907606,0.662379420866634,1.69035413393945,1.41239052506236,-10.1547388909975,12.830172155228,0.813,FALSE
"StateAbbrDE","1.984 (1.268,  3.105)"," 16.49% (  5.90%,  25.64%)","0.003",1.98395871365739,1.26759342041339,3.10516930279855,16.487471980659,5.90038359620507,25.6404687300403,0.003,TRUE
"StateAbbrFL","1.649 (1.088,  2.500)"," 12.25% (  2.10%,  21.43%)","0.018",1.649066698318,1.08775731037516,2.50002546483784,12.2508560983028,2.10171244375602,21.4287793032863,0.018,TRUE
