"Variable","OR_CI_str","prob_CI_str","p_str","OR","CI_l","CI_u","OR_prob","CI_l_prob","CI_u_prob","pvalue","significant"
"(Intercept)","0.101 (0.072, 0.143)","-40.82% (-43.31%, -37.53%)","< 0.001",0.101072435911266,0.0716820741846462,0.142513137590335,-40.8205461680078,-43.3112556502185,-37.5263458334573,0,TRUE
"p_healthy_before","1.000 (1.000, 1.000)","  0.01% (  0.01%,   0.01%)","< 0.001",1.00039766256387,1.00037245956632,1.00042286619637,0.00993958779575621,0.0093097554043382,0.0105694201840265,0,TRUE
"% Age 10-24 years","1.000 (0.995, 1.004)"," -0.01% ( -0.12%,   0.10%)","0.906",0.999735972099606,0.995373849573179,1.004117211175,-0.00660156900905662,-0.115921896736559,0.102718821834422,0.906,FALSE
"% Age 65+ years","1.006 (1.001, 1.010)","  0.14% (  0.03%,   0.25%)","0.012",1.00569803273555,1.00126066063655,1.01015507031419,0.142046126648907,0.0314966626124615,0.252594201914114,0.012,TRUE
"% Low Income","1.005 (1.001, 1.010)","  0.13% (  0.02%,   0.24%)","0.022",1.00522540413421,1.00073826613946,1.00973266168276,0.130294682169755,0.0184498430392281,0.242138217393759,0.022,TRUE
"% High Income","0.998 (0.995, 1.001)"," -0.05% ( -0.12%,   0.03%)","0.210",0.998108114651126,0.995156072204136,1.00106891407087,-0.0473419164609226,-0.121392202428375,0.0267085771847277,0.21,FALSE
"% Non-Hispanic Black","1.003 (1.001, 1.006)","  0.08% (  0.02%,   0.15%)","0.015",1.00328894705949,1.000626586328,1.00595839151707,0.0820886838195136,0.0156597521067923,0.148517325739761,0.015,TRUE
"% Hispanic","1.002 (0.999, 1.004)","  0.05% ( -0.01%,   0.10%)","0.125",1.00180995668851,0.999498175966556,1.00412708442384,0.0452080049473977,-0.0125487494681309,0.10296463871763,0.125,FALSE
"% Non-Hispanic White","1.002 (0.999, 1.005)","  0.05% ( -0.02%,   0.11%)","0.137",1.00194206219389,0.99938569344151,1.00450496998444,0.0485044555125995,-0.0153623825684406,0.112371135315179,0.137,FALSE
"Grocery Stores per 10,000","1.019 (1.007, 1.032)","  0.47% (  0.17%,   0.78%)","0.002",1.01915178226271,1.00684515749673,1.03160883037035,0.474253159939366,0.170545232928397,0.777926092312399,0.002,TRUE
"Restaurants per 10,000","0.999 (0.997, 1.000)"," -0.03% ( -0.07%,   0.00%)","0.055",0.998640413279078,0.997254996713748,1.00002775450667,-0.0340127896916371,-0.0687193996452393,0.000693853038043812,0.055,FALSE
